358798,2016,HONDA,CIVIC,EX-T,4,Continuously Variable,1.5L,FWD,G,2HGFC3B34GH358798,101850,BLACK,BLACK,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS; Power Sun/Moon Roof,0,0,0,,,10400,N,,Coupe,11991.61,10/28/2022,0,Used,0,0,0,0,0,,,2DR,0,,
11057,2020,MITSUBISHI,MIRAGE,ES,3,Automatic,1.2L,FWD,G,ML32A3HJ9LH011057,15164,SILVER,GRAY,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Immobilizer; Keyless Entry; Available; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS,0,0,0,,,9000,N,,Sedan,9800.31,10/14/2022,0,Used,0,0,0,0,0,,,4DR,0,,
D88274,2015,FORD,F150,SUPERCREW,6,Automatic,2.7L,RWD,G,1FTEW1CP1FKD88274,95650,RED,TAN,Air Conditioning; Available; Power Steering; Tilt Wheel; AM/FM; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Available; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; Crew Cab; Regular Bed; All Wheel ABS; 1/2 Ton,0,0,0,,,10400,N,,Truck,10400,11/22/2022,0,Used,0,0,0,0,0,,,4DR,0,,
27584,2015,KIA,SEDONA,LX,6,Automatic,3.3L,FWD,G,KNDMB5C15F6027584,60000,BLUE,BLACK,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS,0,0,0,,,6500,N,,Van,9034.29,10/26/2022,0,Used,0,0,0,0,0,,,4DR,0,,
815883,2019,NISSAN,VERSA,S,4,Continuously Variable,1.6L,FWD,G,3N1CN7APXKL815883,46350,WHITE,BLACK,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS,0,0,0,,,8000,N,,Sedan,9834.62,11/14/2022,0,Used,0,0,0,0,0,,,4DR,0,,
190481,2017,CHEVROLET,CRUZE,PREMIER,4,Automatic,1.4L,FWD,G,1G1BF5SM2H7190481,69312,WHITE,BLACK,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Dual Rear Side Airbag; All Wheel ABS,0,0,0,,,4500,N,,Sedan,7416.62,11/17/2022,0,Used,0,0,0,0,0,,,4DR,0,,
122020,2017,CHEVROLET,MALIBU,LT,4,Automatic,1.5L,FWD,G,1G1ZE5ST2HF122020,44325,BLUE,BLACK,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Alarm; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Dual Rear Side Airbag; All Wheel ABS,0,0,0,,,12000,N,,Sedan,13686.51,11/8/2022,0,Used,0,0,0,0,0,,,4DR,0,,
203300,2019,HYUNDAI,KONA,SE,4,Automatic,2.0L,FWD,G,KM8K12AA6KU203300,38200,WHITE,BLACK,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS,0,0,0,,,13500,N,,SUV,14233.09,12/5/2022,0,Used,0,0,0,0,0,,,4DR,0,,
464246,2021,GMC,SIERRA,1500 AT4,8,Automatic,6.2L,4WD,G,3GTP9EEL7MG464246,25507,WHITE,BLACK,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Crew Cab; Short Bed; All Wheel ABS; 1/2 Ton,0,0,0,,,33500,N,,Truck,33700,12/1/2022,0,Used,0,0,0,0,0,,,4DR,0,,
749281,2019,DODGE,CHARGER,GT,6,Automatic,3.6L,RWD,G,2C3CDXHG9KH749281,65350,BLACK,BLACK,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Active Seatbelts; Passenger Airbag Sensor; All Wheel ABS,0,0,0,,,16000,N,,Sedan,18242.17,12/1/2022,0,Used,0,0,0,0,0,,,4DR,0,,
